# timestamp,mag_x,mag_y,mag_z
1527408651117,37.857056,16.542053,-11.161804
1527408651127,37.857056,16.542053,-11.161804
1527408651136,35.585022,10.758972,-10.366821
1527408651146,35.585022,10.758972,-10.366821
1527408651156,36.091614,15.016174,-11.819458
1527408651167,36.091614,15.016174,-11.819458
1527408651177,34.526062,12.641907,-10.768127
1527408651187,34.526062,12.641907,-10.768127
1527408651207,36.524963,12.173462,-9.135437
1527408651218,37.857056,16.542053,-11.161804
1527408651228,37.857056,16.542053,-11.161804
1527408651237,37.088013,12.394714,-9.571838
1527408651248,34.96704,14.585876,-12.930298
1527408651258,34.96704,14.585876,-12.930298
1527408651269,36.643982,16.670227,-11.070251
1527408651280,36.643982,16.670227,-11.070251
1527408651291,36.309814,11.277771,-8.512878
1527408651301,36.309814,11.277771,-8.512878
1527408651311,35.34088,14.196777,-11.834717
1527408651321,35.34088,14.196777,-11.834717
1527408651331,36.83319,17.279053,-12.449646
1527408651340,36.83319,17.279053,-12.449646
1527408651351,35.923767,11.51886,-9.300232
1527408651361,35.923767,11.51886,-9.300232
1527408651370,35.0708,17.337036,-12.535095
1527408651381,35.0708,17.337036,-12.535095
1527408651391,36.24878,10.559082,-10.787964
1527408651401,36.24878,10.559082,-10.787964
1527408651411,35.91919,16.152954,-12.922668
1527408651421,35.91919,16.152954,-12.922668
1527408651431,37.709045,16.392517,-14.065552
1527408651441,37.709045,16.392517,-14.065552
1527408651451,35.585022,10.758972,-10.366821
1527408651461,35.585022,10.758972,-10.366821
1527408651471,35.531616,14.813232,-14.741516
1527408651481,35.531616,14.813232,-14.741516
1527408651490,36.499023,11.888123,-10.197449
1527408651501,36.499023,11.888123,-10.197449
1527408651512,35.50415,14.506531,-11.987305
1527408651521,35.50415,14.506531,-11.987305
1527408651532,36.317444,16.044617,-9.69696
1527408651542,36.317444,16.044617,-9.69696
1527408651551,35.77423,11.360168,-10.218811
1527408651562,35.77423,11.360168,-10.218811
1527408651572,37.521362,17.370605,-12.724304
1527408651582,37.521362,17.370605,-12.724304
1527408651593,36.479187,14.778137,-11.795044
1527408651603,36.479187,14.778137,-11.795044
1527408651613,37.516785,14.190674,-11.425781
1527408651622,37.516785,14.190674,-11.425781
1527408651633,37.942505,14.39209,-11.868286
1527408651642,37.942505,14.39209,-11.868286
1527408651653,37.017822,14.706421,-12.37793
1527408651664,37.017822,14.706421,-12.37793
1527408651675,36.779785,15.100098,-10.720825
1527408651685,36.779785,15.100098,-10.720825
1527408651696,36.380005,16.773987,-9.710693
1527408651706,36.380005,16.773987,-9.710693
1527408651716,36.857605,15.992737,-14.096069
1527408651726,36.857605,15.992737,-14.096069
1527408651736,37.41913,16.195679,-11.174011
1527408651746,37.41913,16.195679,-11.174011
1527408651756,36.28235,15.625,-13.198853
1527408651766,36.28235,15.625,-13.198853
1527408651777,36.979675,14.266968,-11.911011
1527408651788,32.962036,13.441467,-9.793091
1527408651798,32.962036,13.441467,-9.793091
1527408651807,35.536194,11.759949,-9.934998
1527408651818,35.536194,11.759949,-9.934998
1527408651829,37.358093,17.056274,-11.808777
1527408651838,37.358093,17.056274,-11.808777
1527408651850,37.626648,12.330627,-11.680603
1527408651860,37.626648,12.330627,-11.680603
1527408651870,35.769653,9.762573,-8.044434
1527408651880,35.769653,9.762573,-8.044434
1527408651890,35.853577,15.411377,-10.771179
1527408651900,35.853577,15.411377,-10.771179
1527408651911,37.66327,12.759399,-9.858704
1527408651921,37.66327,12.759399,-9.858704
1527408651931,38.82904,15.219116,-9.558105
1527408651940,38.82904,15.219116,-9.558105
1527408651950,37.24518,17.326355,-11.210632
1527408651961,37.24518,17.326355,-11.210632
1527408651970,37.854004,14.952087,-10.665894
1527408651981,37.854004,14.952087,-10.665894
1527408651991,37.252808,14.291382,-9.609985
1527408652001,37.252808,14.291382,-9.609985
1527408652011,36.79657,16.847229,-13.508606
1527408652021,36.79657,16.847229,-13.508606
1527408652031,36.358643,10.276794,-9.09729
1527408652041,36.358643,10.276794,-9.09729
1527408652051,37.547302,17.666626,-13.493347
1527408652061,37.547302,17.666626,-13.493347
1527408652071,37.168884,16.453552,-11.650085
1527408652081,37.168884,16.453552,-11.650085
1527408652091,35.647583,11.476135,-7.78656
1527408652101,35.647583,11.476135,-7.78656
1527408652111,36.643982,16.673279,-11.528015
1527408652121,36.643982,16.673279,-11.528015
1527408652133,36.582947,15.953064,-13.345337
1527408652144,36.582947,15.953064,-13.345337
1527408652155,34.942627,15.878296,-12.504578
1527408652165,34.942627,15.878296,-12.504578
1527408652175,36.045837,16.029358,-13.983154
1527408652185,36.045837,16.029358,-13.983154
1527408652195,35.810852,11.791992,-9.159851
1527408652205,35.810852,11.791992,-9.159851
1527408652215,36.566162,14.2074585,-10.861206
1527408652225,36.566162,14.2074585,-10.861206
1527408652235,36.653137,13.645935,-11.759949
1527408652245,36.653137,13.645935,-11.759949
1527408652256,38.249207,11.680603,-9.346008
1527408652266,38.249207,11.680603,-9.346008
1527408652276,37.04071,13.409424,-12.04071
1527408652286,37.04071,13.409424,-12.04071
1527408652296,36.254883,15.322876,-11.209106
1527408652306,36.254883,15.322876,-11.209106
1527408652317,36.279297,15.609741,-10.450745
1527408652327,36.279297,15.609741,-10.450745
1527408652337,36.47766,14.770508,-10.269165
1527408652346,36.47766,14.770508,-10.269165
1527408652356,36.914062,13.525391,-9.606934
1527408652368,35.758972,17.436218,-14.335632
